game_length,gold_left,last_round,players_eliminated,time_eliminated,total_damage_to_players
2.106478633,-0.542416878,-0.219807236,0.173684235,0.075852066,-0.024937165
2.106478633,-0.471151006,1.332238016,-0.736637418,1.522200193,0.65962787
2.106478633,0.811634687,1.997400267,0.173684235,2.152690387,1.427170486
2.106478633,-0.542416878,-0.884969487,-0.736637418,-0.579656969,-1.352578447
2.106478633,-0.471151006,-1.771852488,-0.736637418,-1.493143292,-1.373322842
2.106478633,-0.542416878,-0.441527986,-0.736637418,-0.175879183,-0.460569461
2.106478633,-0.257353391,-0.219807236,0.173684235,0.08098878,-0.21163672
-1.393638418,-0.542416878,-1.328410988,-0.736637418,-1.513339479,-1.435556027
-1.393638418,-0.471151006,0.445355015,-0.736637418,0.180876765,0.555905895
-1.393638418,-0.043555775,-0.884969487,-0.736637418,-0.996642139,-0.771735386
-1.393638418,-0.399885134,-0.884969487,-0.736637418,-1.018175971,-0.792479781
-1.393638418,-0.186087519,0.445355015,0.173684235,0.191939678,0.74260545
-1.393638418,-0.186087519,0.667075765,1.084005888,0.419053814,0.70111666
-1.393638418,-0.257353391,-1.106690237,-0.736637418,-1.266643789,-0.979179336
-1.393638418,-0.257353391,0.667075765,2.904649194,0.419053814,1.883547177
0.433114287,-0.542416878,-0.441527986,-0.736637418,-0.554181488,-0.813224176
0.433114287,-0.328619262,-0.884969487,-0.736637418,-0.933455357,-0.999923731
0.433114287,3.092142586,1.553958767,1.994327541,1.326089863,1.821313992
0.433114287,-0.471151006,0.667075765,-0.736637418,0.603110401,0.61813908
0.433114287,2.236952124,1.553958767,1.994327541,1.326089863,0.846327426
0.433114287,-0.399885134,-0.884969487,-0.736637418,-0.935233747,-0.750990991
0.433114287,0.384039456,-0.441527986,-0.736637418,-0.579073164,-0.398336276
0.433114287,1.738091021,-0.219807236,-0.736637418,-0.321247124,-0.190892325
-0.435103206,-0.186087519,-0.441527986,0.173684235,-0.451918784,-0.315358696
-0.435103206,0.882900559,-1.328410988,-0.736637418,-1.373248904,-1.228112076
-0.435103206,-0.542416878,-0.884969487,-0.736637418,-0.812535457,-0.999923731
-0.435103206,0.241507712,0.001913514,-0.736637418,-0.200093606,-0.273869906
-0.435103206,-0.471151006,1.110517266,2.904649194,0.892280317,2.505879027
-0.435103206,-0.471151006,-1.106690237,-0.736637418,-1.09588948,-1.311089657
-0.435103206,0.597837072,-0.219807236,-0.736637418,-0.217516237,-0.502058251
-0.435103206,0.811634687,1.110517266,0.173684235,0.892280317,1.281959721
-0.865388723,0.17024184,0.667075765,1.994327541,0.679228079,1.842058387
-0.865388723,-0.542416878,-1.106690237,-0.736637418,-1.121226716,-1.062156916
-0.865388723,0.455305328,0.667075765,-0.736637418,0.679228079,0.514417105
-0.865388723,-0.328619262,0.667075765,1.084005888,0.638529834,0.41069513
-0.865388723,-0.257353391,-0.884969487,-0.736637418,-0.852263584,-0.750990991
-0.865388723,-0.399885134,-1.106690237,-0.736637418,-1.095938612,-0.937690546
-0.865388723,-0.542416878,0.445355015,0.173684235,0.418266737,0.597394685
-0.865388723,-0.542416878,-0.884969487,-0.736637418,-0.86233952,-0.688757806
1.564996478,-0.399885134,1.997400267,0.173684235,1.882556273,1.530892461
1.564996478,-0.399885134,-1.328410988,-0.736637418,-1.568891998,-1.082901311
1.564996478,0.312773584,1.997400267,1.994327541,1.879987916,1.987269152
