gold_left,sum_unit_tier,mean_unit_rarity,placement
1,19,4.454545454545454,2
0,19,3.1818181818181817,3
0,16,2.888888888888889,6
2,17,2.4444444444444446,1
1,15,4.0,6
1,12,3.625,7
19,20,3.8,2
1,14,2.2857142857142856,5
1,15,2.5,4
0,17,2.125,3
3,13,2.375,8
1,10,1.8571428571428568,8
7,18,2.555555555555556,5
45,21,1.25,4
2,19,3.8,3
34,22,5.25,1
4,15,2.9,7
1,14,3.3,6
3,17,3.2222222222222223,2
4,20,4.090909090909091,2
8,16,1.5,8
2,13,2.75,6
2,11,4.555555555555555,7
3,19,3.5,4
23,13,3.25,5
78,16,3.2222222222222223,3
8,20,3.7,1
5,19,3.2,2
52,17,3.8,1
1,17,3.3,5
23,13,3.0,8
17,16,3.888888888888889,6
0,16,1.0,4
1,15,3.0,3
2,13,4.444444444444445,7
44,14,2.75,8
20,18,2.0,5
4,19,3.7,1
3,17,3.7,4
6,22,1.1111111111111112,7
0,17,3.4444444444444446,2
51,17,2.0,6
0,16,3.555555555555556,3
4,14,2.333333333333333,8
18,16,3.888888888888889,5
3,16,3.333333333333333,7
3,16,3.111111111111111,2
1,20,2.5,3
34,17,2.4444444444444446,4
1,17,3.2,1
0,17,1.5555555555555556,6
1,16,3.7,5
18,15,3.125,7
28,16,1.1428571428571428,8
6,16,3.0,6
6,18,2.5,4
2,17,2.888888888888889,1
1,19,4.090909090909091,2
0,15,2.375,3
30,19,2.9,1
0,18,3.7,4
10,18,3.2,3
7,13,2.125,7
1,16,3.909090909090909,5
2,20,4.545454545454546,2
1,15,3.1,6
0,12,2.625,8
0,21,3.0,2
0,13,2.0,6
1,14,2.75,5
4,15,2.875,8
1,16,3.2222222222222223,1
1,16,3.7,4
0,16,2.75,3
0,13,3.25,7
0,10,3.0,8
4,13,3.375,6
11,17,4.0,2
1,21,1.0,4
2,16,2.555555555555556,5
13,21,1.6,1
1,15,2.625,7
11,17,3.125,3
1,18,3.1,1
0,14,1.5714285714285714,8
0,19,4.090909090909091,3
1,17,3.333333333333333,5
0,15,2.888888888888889,6
1,12,2.2857142857142856,7
4,18,2.0,2
3,15,4.1,4
1,18,2.8,2
4,17,4.0,5
53,15,2.7777777777777777,6
2,20,2.7,3
2,16,2.9,7
3,14,2.625,4
13,13,3.0,8
4,15,3.3,1
1,18,2.0,4
0,19,1.6666666666666667,6
2,18,2.888888888888889,1
1,19,4.454545454545454,2
0,14,3.0,7
35,15,0.5,8
4,16,2.333333333333333,3
1,15,3.0,5
14,14,2.625,8
0,18,3.2222222222222223,2
0,17,3.0,5
3,16,3.7777777777777777,3
1,15,2.2222222222222223,7
2,20,4.727272727272728,1
1,19,2.2222222222222223,4
5,18,3.7777777777777777,6
0,19,1.5555555555555556,6
4,19,3.5,5
1,16,2.7777777777777777,3
0,14,2.0,7
7,13,2.0,8
2,19,3.7777777777777777,2
2,20,1.7777777777777777,1
2,17,4.111111111111111,4
1,15,2.75,4
0,17,1.375,3
1,17,3.555555555555556,2
1,14,2.555555555555556,6
48,16,3.0,1
11,15,2.5,7
1,11,1.6666666666666667,8
1,17,2.2222222222222223,5
13,15,4.3,6
0,18,5.090909090909091,3
1,16,3.0,7
43,19,3.5,1
0,17,3.111111111111111,2
1,15,2.555555555555556,4
6,9,2.25,8
1,15,3.555555555555556,5
1,15,3.0,4
0,17,3.8,5
3,15,3.0,3
0,14,2.25,6
24,15,2.75,7
2,19,2.5,1
1,20,3.3,2
1,12,1.0,8
0,14,3.0,3
1,16,2.5,5
1,12,2.0,8
1,13,5.0,6
2,19,3.636363636363636,1
0,16,3.25,2
0,16,2.7777777777777777,4
0,15,2.375,7
31,19,1.5555555555555556,3
6,18,3.7,1
0,16,2.4444444444444446,8
13,17,3.555555555555556,2
1,14,3.0,7
38,14,2.0,6
2,15,2.2222222222222223,5
1,15,3.25,4
2,15,3.6,4
34,15,2.333333333333333,5
2,15,3.5,8
6,19,0.7777777777777778,6
0,14,1.9,7
2,21,4.153846153846154,2
2,18,3.2,1
0,15,1.875,3
1,15,2.555555555555556,5
10,15,2.75,3
17,19,1.2222222222222223,7
40,16,3.6,4
2,20,3.8,1
1,14,2.625,6
0,19,2.333333333333333,2
4,14,2.625,8
1,11,2.142857142857143,5
2,14,2.7777777777777777,6
50,12,2.4285714285714284,7
0,17,2.7777777777777777,3
4,11,3.0,8
2,16,3.4444444444444446,4
29,18,2.6666666666666665,1
1,20,3.75,2
1,14,3.125,7
0,17,2.2222222222222223,5
0,21,2.0,2
0,16,2.0,3
1,17,4.818181818181818,4
1,16,3.111111111111111,1
3,15,2.5,6
1,15,2.75,8
1,15,2.25,5
6,15,3.0,2
3,15,1.5,8
0,17,1.375,3
9,16,2.7777777777777777,1
0,13,3.111111111111111,6
0,14,2.888888888888889,7
1,15,3.375,4
4,19,4.4,4
1,16,3.2222222222222223,3
31,18,2.555555555555556,1
10,14,1.8571428571428568,5
0,21,3.0,2
6,14,2.2857142857142856,7
1,14,3.6666666666666665,6
24,16,1.5714285714285714,8
0,16,3.6666666666666665,4
0,16,4.8,6
57,16,3.0,1
29,19,2.7,3
0,15,3.0,7
1,21,1.4444444444444444,2
1,17,2.333333333333333,5
0,14,2.0,8
2,19,2.5,3
1,16,3.2222222222222223,2
50,12,2.0,6
0,11,1.875,8
0,17,3.111111111111111,7
32,18,4.181818181818182,1
3,20,1.25,4
4,14,2.5,5
24,17,1.5,7
0,15,2.25,8
1,14,2.625,4
52,18,2.7777777777777777,1
1,16,2.0,6
