game_length,gold_left,last_round,players_eliminated,time_eliminated,total_damage_to_players
2118.58642578125,1,35,1,2102.412109375,129
2416.9873046875,54,41,4,2404.319580078125,196
2416.9873046875,0,31,1,1878.00244140625,99
2416.9873046875,1,38,0,2244.539306640625,132
2416.9873046875,19,41,1,2404.319580078125,169
2416.9873046875,0,28,0,1711.8818359375,35
2416.9873046875,1,24,0,1480.384033203125,34
2416.9873046875,0,30,0,1814.2081298828125,78
2416.9873046875,4,31,1,1879.30419921875,90
1977.794921875,0,26,0,1475.265869140625,31
1977.794921875,1,34,0,1904.6180419921875,127
1977.794921875,7,28,0,1606.20849609375,63
1977.794921875,2,28,0,1600.7513427734375,62
1977.794921875,5,34,1,1907.421630859375,136
1977.794921875,5,35,2,1964.9774169921875,134
1977.794921875,4,27,0,1537.7840576171875,53
1977.794921875,4,35,4,1964.9774169921875,191
2207.0146484375,0,30,0,1718.337890625,61
2207.0146484375,3,28,0,1622.221435546875,52
2207.0146484375,51,39,3,2194.840576171875,188
2207.0146484375,1,35,0,2011.6214599609373,130
2207.0146484375,39,39,3,2194.840576171875,141
2207.0146484375,2,28,0,1621.770751953125,64
2207.0146484375,13,30,0,1712.02978515625,81
2207.0146484375,32,31,0,1777.36865234375,91
2098.0712890625,5,30,1,1744.2535400390625,85
2098.0712890625,20,26,0,1510.7679443359375,41
2098.0712890625,0,28,0,1652.865234375,52
2098.0712890625,11,32,0,1808.0716552734373,87
2098.0712890625,1,37,4,2084.903564453125,221
2098.0712890625,1,27,0,1581.0570068359375,37
2098.0712890625,16,31,0,1803.6563720703125,76
2098.0712890625,19,37,1,2084.903564453125,162
2044.079345703125,10,35,3,2030.911376953125,189
2044.079345703125,0,27,0,1574.635986328125,49
2044.079345703125,14,35,0,2030.911376953125,125
2044.079345703125,3,35,2,2020.5975341796875,120
2044.079345703125,4,28,0,1642.7972412109375,64
2044.079345703125,2,27,0,1581.0445556640625,55
2044.079345703125,0,34,1,1964.7779541015625,129
2044.079345703125,0,28,0,1640.2437744140625,67
2349.04248046875,2,41,1,2335.861572265625,174
2349.04248046875,2,26,0,1461.1876220703125,48
2349.04248046875,12,41,3,2335.210693359375,196
2349.04248046875,1,26,0,1465.04296875,43
2349.04248046875,30,26,0,1465.2432861328125,44
2349.04248046875,0,34,1,1937.7884521484373,122
2349.04248046875,1,33,1,1875.2598876953125,62
2349.04248046875,3,41,1,2330.654052734375,161
2127.451416015625,0,31,0,1756.3087158203125,86
2127.451416015625,1,27,0,1524.709716796875,29
2127.451416015625,11,33,1,1846.9630126953125,88
2127.451416015625,0,35,1,1975.0213623046875,161
2127.451416015625,1,31,0,1755.1070556640625,81
2127.451416015625,3,28,0,1583.1234130859375,65
2127.451416015625,2,38,3,2114.28369140625,174
2127.451416015625,3,38,2,2112.43115234375,158
2112.243896484375,0,27,0,1651.000732421875,53
2112.243896484375,19,34,0,2099.07666015625,119
2112.243896484375,0,31,0,1900.247314453125,74
2112.243896484375,1,34,1,2079.64990234375,143
2112.243896484375,18,31,1,1899.145751953125,114
2112.243896484375,6,34,2,2099.07666015625,151
2112.243896484375,5,28,1,1719.7708740234375,43
2112.243896484375,0,27,0,1648.0399169921875,45
2138.5546875,1,37,2,2125.386474609375,229
2138.5546875,1,28,0,1672.48828125,65
2138.5546875,1,27,0,1593.9781494140625,54
2138.5546875,11,34,1,1982.4117431640625,108
2138.5546875,2,37,2,2125.386474609375,143
2138.5546875,2,31,1,1824.984619140625,106
2138.5546875,1,26,0,1540.9833984375,30
2138.5546875,11,23,0,1342.9058837890625,20
2073.968994140625,1,30,0,1769.3604736328125,58
2073.968994140625,0,35,1,2051.97802734375,136
2073.968994140625,11,27,0,1610.9693603515625,48
2073.968994140625,0,34,0,1993.825927734375,110
2073.968994140625,1,26,0,1547.0147705078125,37
2073.968994140625,1,33,0,1926.2952880859373,101
2073.968994140625,4,36,3,2060.787841796875,159
2073.968994140625,28,36,1,2060.787841796875,141
2118.4599609375,1,24,0,1425.2672119140625,26
2118.4599609375,1,27,0,1595.2645263671875,58
2118.4599609375,0,37,2,2105.527587890625,141
2118.4599609375,32,37,2,2105.527587890625,162
2118.4599609375,32,35,0,2073.51806640625,124
2118.4599609375,0,30,0,1754.5938720703125,60
2118.4599609375,1,33,0,1923.579345703125,93
2118.4599609375,11,34,0,2001.2086181640625,107
2073.868408203125,6,35,2,2055.84375,124
2073.868408203125,0,30,0,1737.65283203125,68
2073.868408203125,51,35,1,2060.7001953125,182
2073.868408203125,0,31,1,1819.661865234375,84
2073.868408203125,4,31,0,1823.51708984375,72
2073.868408203125,1,27,0,1556.980224609375,52
2073.868408203125,51,33,0,1927.475341796875,94
2073.868408203125,38,35,1,2056.89501953125,113
2162.0703125,16,37,1,2148.900634765625,132
2162.0703125,0,28,0,1670.2657470703125,46
2162.0703125,0,31,0,1837.6185302734373,91
2162.0703125,13,26,0,1525.582763671875,33
2162.0703125,19,31,1,1831.50927734375,80
2162.0703125,12,37,4,2148.900634765625,208
2162.0703125,68,34,1,1999.700439453125,115
2162.0703125,1,28,0,1663.1064453125,64
2130.949951171875,38,28,0,1581.1009521484375,76
2130.949951171875,14,38,4,2117.737060546875,205
2130.949951171875,1,27,0,1511.0296630859375,45
2130.949951171875,10,31,0,1748.8951416015625,77
2130.949951171875,1,27,0,1517.6744384765625,48
2130.949951171875,2,38,3,2117.737060546875,174
2130.949951171875,17,30,0,1674.2978515625,90
2130.949951171875,0,31,0,1743.7877197265625,94
2171.91015625,2,37,3,2158.7421875,167
2171.91015625,0,37,3,2158.7421875,161
2171.91015625,4,27,0,1608.6982421875,39
