gold_left,sum_unit_tier,mean_unit_rarity
1,20,4.090909090909091
21,14,2.4444444444444446
26,18,2.555555555555556
1,13,3.5
1,20,4.818181818181818
13,15,2.5
1,20,4.0
1,12,4.555555555555555
2,15,3.7
64,17,3.0
1,19,3.0
0,18,3.5
3,15,3.0
1,11,2.7142857142857144
1,18,4.363636363636363
1,19,2.555555555555556
51,20,3.6666666666666665
25,14,1.7142857142857142
41,18,3.555555555555556
8,20,1.8888888888888888
40,17,2.0
4,16,3.555555555555556
4,17,3.8
2,17,3.6
1,13,2.75
2,18,4.2
50,18,3.111111111111111
1,16,3.111111111111111
0,14,4.1
0,14,2.6666666666666665
1,16,3.0
5,21,2.333333333333333
0,16,3.6
0,20,4.090909090909091
11,19,3.909090909090909
3,16,2.4444444444444446
0,15,4.9
2,15,3.2222222222222223
0,10,2.375
10,15,4.0
5,19,3.1
2,19,4.0
