match_id,game_length,puuid,gold_left,last_round,players_eliminated,time_eliminated,total_damage_to_players,placement
NA1_5219949238,2063.623046875,w_Aw8ZLfUAQcdM09SzRnmduCXdH3CJ-BUVNq5v8DfRxvpCQPAiTAlsF5YfWLYBe1ewiyJtNuUHNWfg,2,28,1,1664.405517578125,52,7
NA1_5219949238,2063.623046875,9cwLypHvcl7bdoE1TjehpQqElhdyRMMj22Lvq2T5qFvwI8TIe4XY3KzMMjLHL_HnT6V68FwFZUWioA,1,35,2,2051.107177734375,152,2
NA1_5219949238,2063.623046875,z9ZACX-9dNNHQFOAQSlxT3pjAhhUp_WBIrGuWo7Vn4NTfqoQcnYeE7svccWV2HvJ1baXeXQI3z_QYg,1,30,0,1761.7647705078125,87,6
NA1_5219949238,2063.623046875,jGNRkf-PoKrO0I_Vhxx0c_Ebs70qZlHTZ6_vWHtd8hiUnmK55-6lj-n6LRHMNm9y7RzIuXlVBTsWGQ,30,33,0,1932.8892822265625,111,4
NA1_5219949238,2063.623046875,mYWLsVgHssxrB-VxHvpIcyOvDtZQnidTP7Wb7mozZvyn8E693bcyVbPphzv9wtPwKAoDQHhVLFUyLw,0,34,0,1990.07958984375,122,3
NA1_5217191911,2344.896484375,laqmlYy6Pcg0RCLPdIrFEYIBJr5kOrl5iHHq5z9i9bBh-RGzv4Tr7t-Liq2pLUGI2wYhS9hfMQZTPg,1,40,1,2330.326904296875,169,2
NA1_5217191911,2344.896484375,MICYFi9f9qBIA5Qnrai5KxN3pFe9Vmd8FlL7BHmTXjjEMGFu99RPajgk6Ut6QlnPeVGdi-yyPjDd8w,1,40,2,2331.728759765625,174,1
NA1_5217191911,2344.896484375,blNSeyennJFncW9nV8mJYHLx32If4AeagXC-Szecn2SWEWOlena1epCoEjVAejRlJg48aiL19_9hmg,0,33,1,1955.795166015625,98,4
NA1_5217191911,2344.896484375,rosuKc_8yil7N7g0Zw4-gLn_ZAW5Uk0BYC5xXcgTuThkfnf1GvkPJ2sWfv1SVcepz0cgwAe9Z0oU2A,1,26,0,1583.5633544921875,30,8
NA1_5217191911,2344.896484375,ah_d5fUKVT5ylJGylL4IyR8HxjOBfzTkUB5PeHWtAO_Se6YwT5hX-KvKw68hck2m0v5lgPxz_3sSwg,0,31,1,1864.362060546875,88,5
NA1_5217191911,2344.896484375,3hZz5kM5g31LfxeDBCOmJlFcSIP5xWHFIrX0fP8D1y3O4ypfb1l1p9Hco6DElv46mnj5xI0dHbkAjw,1,37,1,2181.188232421875,148,3
NA1_5217191911,2344.896484375,cnHnvaKbAz2ul3Vm8t9rOKbw0VtaneDEodFwNK5kAz0d-dJcrmUkEWceAM8w0rGl3NdjOocEIVyenw,1,31,0,1862.6097412109375,80,6
NA1_5217191911,2344.896484375,OqOVSxg5VcWgRsJqn6gb-qwIYqBqqvyJ_syYZxKDCiGy0hbMdK55oww_Vf9JU-xxcGCcvKDRbcZ44w,1,27,0,1597.35986328125,40,7
NA1_5214900748,2118.58642578125,Eto-8oL6lzOWCA_KYCgkeNoroXFb7gVHWemexkS5gktdfZq2OH16VNRxx7-ry2v3B65ZiBdesC8yhw,59,35,2,2105.416259765625,152,1
NA1_5214900748,2118.58642578125,zVlXLPPza_IOPJq66xiYp0bq_LEmDDnZCCaKa7oCarmhWwPVkgQO-3kE4SiE7HGUMhXhB7IjFH8nbw,2,35,0,2104.765380859375,129,3
NA1_5214900748,2118.58642578125,TftTCCZh6aQVAAcMEaRLTq9JuUsIyUYIKZo5PNIKZ6JsmHl8ggVqdd-_x_Ks_OOJefrhc42w83wMjg,0,28,0,1758.45556640625,64,7
NA1_5214900748,2118.58642578125,CnOPL--qpAIyQydEXJ3frKM31CBbm4eLtN1Fy_AiSxlj6hcHbPa7YnretgmL9ggXvqH92WkST7pgZA,2,27,0,1691.796142578125,42,8
NA1_5214900748,2118.58642578125,taWSIHMWsELx735nEVFMZGHbAHrXe8CIXnXK4idXPLvD_0sGFhElB2yo_EWIbPeQk3HwD4pmp3Pckw,0,28,0,1754.4915771484375,41,6
NA1_5214900748,2118.58642578125,E0LjqtAODVqSZK7n8MqiorLYQh1JS899s6SehTgDm65rPsyduP_XiLATL0ACVQmWr5QtfVlrn38cmw,1,34,0,2090.4697265625,107,5
NA1_5214900748,2118.58642578125,ANTi0B1f-qRec08EUXBoB95ss65S2YZez8CfYL1FY5s-3weW2SaP3A0yhgftfJou3CuwYAMQKcLbpQ,1,35,0,2105.416259765625,114,2
NA1_5214900748,2118.58642578125,Pz4j86ApUpq-lWRNJXIbBBvcDIM0Rd4QPoSVt2VL5z4Fda90KE_u-KZRPKbMp8mGsHa2UUsEmoOiTQ,1,35,1,2102.412109375,129,4
NA1_5220206561,2416.9873046875,pApqIJtrj0MTSzP1DmfssUOA20_uPraJ4HIXGleI-k3EIgIjc_A6lLJnaowgBct_4E2iiSbmzjq2Aw,54,41,4,2404.319580078125,196,1
NA1_5220206561,2416.9873046875,ZhcoJlf2-Cu-V9abHYAq3IYtwjp-_Ys3Yu-G-jZiD2TQL_QP86f0iA2NVmUuJoljVvma_VS-j2_axw,0,31,1,1878.00244140625,99,4
NA1_5220206561,2416.9873046875,Z-jgkkhT0k9STfSPwe34KyYDLP7CGlsQ_hEjm8kd16WH6-O6AjnKvkMg8qwMghobS1Vs4pDN8j3YyA,1,38,0,2244.539306640625,132,3
NA1_5220206561,2416.9873046875,XlHZEUaGEtW852c4fEH30ZpA8mDhznQOche37SrMLMHozd7jfCViQL1Q_09pwGaPScGDl2nc-ntcyw,19,41,1,2404.319580078125,169,2
NA1_5220206561,2416.9873046875,rgE6RPFub16S3YBBPNQ4iowfuW6J9_8-ZPokuyAzf9p5zRfv9YHsR0lIazwroxtzql_7GOR_g_v2iw,0,28,0,1711.8818359375,35,7
NA1_5220206561,2416.9873046875,dmlBxFeUM33gVOCCZgzkjur1ny1_0f-KHgjrilpO5LEB20Pvzoeu0wuBkobIgBDfai4c27vOWBBnQA,1,24,0,1480.384033203125,34,8
NA1_5220206561,2416.9873046875,ZXfC54gzyYpbfOaDJldu8enMrXcoqUSgOh8PkMMphQQ0rxRJjZhSNVE5mIrWbGBoWDbtK107YRXHVA,0,30,0,1814.2081298828125,78,6
NA1_5220206561,2416.9873046875,kDdy8D4G9dMQ2cP0O1alWIrtPEbgeZWmrjDP2jdjrvg7TeYJvzDSgYTMhHOe5k-dNGNpGzxQ3TZVrg,4,31,1,1879.30419921875,90,5
NA1_5220071029,1977.794921875,-0l4X_UT-_2vdckVPWO-9r1eFdwcORbBt3-28KIpQc4VVR2JDKfsET1sj2u4ypkfIk5KZYAdVUZpCw,0,26,0,1475.265869140625,31,8
NA1_5220071029,1977.794921875,_2HH0iiP-q2-99mAe7mk7qKn1QGiuQNfcRMqvuJiDOZZSKqZ0G5kajAmz88mBwg2geXDLZhA-VcK6w,1,34,0,1904.6180419921875,127,4
NA1_5220071029,1977.794921875,BE98ug9jmIN-HDGmb_MfAZXMNnp_HQxNDxqOZbWc-7addxHk1vq6o6RB-ifWrYBmE-omqJigVwR63g,7,28,0,1606.20849609375,63,5
NA1_5220071029,1977.794921875,LHyQBENS4SQaPH93Lyy0uAgRVb30OUecVA7YWhSsCuMKkqZRtVioxcC0eJZ8GH-ChZ6NI1RfLuPxYw,2,28,0,1600.7513427734375,62,6
NA1_5220071029,1977.794921875,WXqyTpxq8p_B-nCY5t3BxeE6B1JK_LrSt6RWwd1m2ajjfQmUjbSRh9Tco0Cp1EWjczCx5_iRK3mieg,5,34,1,1907.421630859375,136,3
NA1_5220071029,1977.794921875,74xv9--BZz07qTMJYiZpmzVI-Ks2m2PtnkSZGey8MTVtu6WBwmLu9RHMCaQnaIL8pV1fVW1ebVVEjw,5,35,2,1964.9774169921875,134,2
NA1_5220071029,1977.794921875,9YrzSwC2L8QjDUJ7bkdsFsEF-N42YuA5keHYZsENW32KhLLBUsMPHntREdiI6cWxkN92DeTKLBeCHw,4,27,0,1537.7840576171875,53,7
